Index,Questions,Answers
1,What is Python?,"Python is a high-level, interpreted, general-purpose programming language. Being a general-purpose language, it can be used to build almost any type of application with the right tools/libraries. Additionally, python supports objects, modules, threads, exception-handling, and automatic memory management which help in modeling real-world problems and building applications to solve these problems"
2,What is the difference between a list and a tuple?,1. A list consists of mutable objects. (Objects which can be changed after creation) 2.A tuple consists of immutable objects. (Objects which cannot change after creation)
3,What are the benefits of using Python?,"Python is a general-purpose programming language that has a simple, easy-to-learn syntax that emphasizes readability and therefore reduces the cost of program maintenance. Moreover, the language is capable of scripting, is completely open-source, and supports third-party packages encouraging modularity and code reuse. Its high-level data structures, combined with dynamic typing and dynamic binding, attract a huge community of developers for Rapid Application Development and deployment"
4,What is a dynamically typed language?,"Dynamic - Data Types are checked during execution. Python is an interpreted language, executes each statement line by line and thus type-checking is done on the fly, during execution. Hence, Python is a Dynamically Typed Language."
5,What is an Interpreted language?,"An Interpreted language executes its statements line by line. Languages such as Python, Javascript, R, PHP, and Ruby are prime examples of Interpreted languages. Programs written in an interpreted language runs directly from the source code, with no intermediary compilation step"
6,What is PEP 8 and why is it important?,"PEP stands for Python Enhancement Proposal. A PEP is an official design document providing information to the Python community, or describing a new feature for Python or its processes. PEP 8 is especially important since it documents the style guidelines for Python Code. Apparently contributing to the Python open-source community requires you to follow these style guidelines sincerely and strictly."
7,What are lists and tuples?,"Lists and Tuples are both sequence data types that can store a collection of objects in Python. The objects stored in both sequences can have different data types. Lists are represented with square brackets ['sara', 6, 0.19], while tuples are represented with parantheses ('ansh', 5, 0.97)."
8,What is self in Python?,"Self is a keyword in Python used to define an instance of an object of a class. In Python, it is explicitly used as the first parameter, unlike in Java where it is optional. It helps in distinguishing between the methods and attributes of a class from its local variables."
9,What is __init__?,__init__ is a contructor method in Python and is automatically called to allocate memory when a new object/instance is created.The method is run as soon as an object is instantiated. It is useful for initializing any attributes or default behaviour of the object at the time of instantiation.
10,"What is break, continue and pass in Python?","Break : The break statement terminates the loop immediately and the control flows to the statement after the body of the loop.Continue :The continue statement terminates the current iteration of the statement, skips the rest of the code in the current iteration and the control flows to the next iteration of the loop. Pass  : The pass keyword in Python is generally used to fill up empty blocks and is similar to an empty statement represented by a semi-colon in languages such as Java, C++, Javascript, etc."
11,What is docstring in Python?,Documentation string or docstring is a multiline string used to document a specific code segment. The docstring should describe what the function or method does.
12,What is the difference between Python Arrays and lists?,"Arrays in python can only contain elements of same data types i.e., data type of array should be homogeneous. It is a thin wrapper around C language arrays and consumes far less memory than lists . Lists in python can contain elements of different data types i.e., data type of lists can be heterogeneous. It has the disadvantage of consuming large memory"
13,What are decorators in Python?,Decorators in Python are essentially functions that add functionality to an existing function in Python without changing the structure of the function itself. They are represented the @decorator_name in Python and are called in a bottom-up fashion
14,What is lambda in Python? Why is it used?,"Lambda is an anonymous function in Python, that can accept any number of arguments, but can only have a single expression. It is generally used in situations requiring an anonymous function for a short time period"
15,What are generators in Python?,"Generators are functions that return an iterable collection of items, one at a time, in a set manner. Generators, in general, are used to create iterators with a different approach. They employ the use of yield keyword rather than return to return a generator object."
16,Explain split() and join() functions in Python?,You can use split() function to split a string based on a delimiter to a list of strings . You can use join() function to join a list of strings based on a delimiter to give a single string
17,What does *args and **kwargs mean,*args is a special syntax used in the function definition to pass variable-length arguments . **kwargs is a special syntax used in the function definition to pass variable-length keyworded arguments.
18,What are negative indexes and why are they used?,Negative indexes are the indexes from the end of the list or tuple or string . Arr[-1] means the last element of array Arr[]
19,How do you create a class in Python?,"To create a class in python, we use the keyword class"
20,How does inheritance work in python?,Inheritance gives the power to a class to access all attributes and methods of another class. It aids in code reusability and helps the developer to maintain applications without redundant code. The class inheriting from another class is a child class or also called a derived class. The class from which a child class derives the members are called parent class or superclass.
21,Are access specifiers used in python?,"Python does not make use of access specifiers specifically like private, public, protected, etc. However, it does not deprive this to any variables. It has the concept of imitating the behaviour of variables by making use of a single (protected) or double underscore (private) as prefixed to the variable names. By default, the variables without prefixed underscores are public."
22,Is it possible to call parent class without its instance creation?,"Yes, it is possible if the base class is instantiated by other child classes or if the base class is a static method."
23,How is an empty class created in python?,An empty class does not have any members defined in it. It is created by using the pass keyword (the pass command does nothing in python). We can create objects for this class outside the clas
24,Differentiate between new and override modifiers.,The new modifier is used to instruct the compiler to use the new implementation and not the base class function. The Override modifier is useful for overriding a base class function inside the child class.
25,How will you check if a class is a child of another class?,This is done by using a method called issubclass() provided by python. The method tells us if any class is a child of another class by returning true or false accordingly.
26,What do you know about pandas?,"Pandas is an open-source, python-based library used in data manipulation applications requiring high performance. The name is derived from “Panel Data” having multidimensional data. This was developed in 2008 by Wes McKinney and was developed for data analysis"
27,Define pandas dataframe.,A dataframe is a 2D mutable and tabular structure for representing data labelled with axes - rows and columns.
28,Differentiate between a package and a module in python.,"The module is a single python file. A module can import other modules as objects. Whereas, a package is the folder/directory where different sub-packages and the modules reside"
29,What is monkey patching in Python?,"In Python, the term monkey patch only refers to dynamic modifications of a class or module at run-time."
30,"What is Polymorphism in Python?","Polymorphism means the ability to take multiple forms. So, for instance, if the parent class has a method named ABC then the child class also can have a method with the same name ABC having its own parameters and variables. Python allows polymorphism."
31,What is data structure?,"A data structure is a way of organizing data that considers not only the items stored, but also their relationship to each other. Advance knowledge about the relationship between data items allows designing of efficient algorithms for the manipulation of data."
32,What are minimum number of queues needed to implement the priority queue?,Two. One queue is used for actual storing of data and another for storing priorities.
33,What is the data structures used to perform recursion?,"Stack. Because of its LIFO Last In First Out property it remembers its caller so knows whom to return when the function has to return . Recursion makes use of system stack for storing the return addresses of the function calls . Every recursive function has its equivalent iterative non-recursive function. Even when such equivalent iterative procedures are written, explicit stack is to be used."
34,What are the notations used in Evaluation of Arithmetic Expressions using prefix and postfix forms?,Polish and Reverse Polish notations.
35,"Sorting is not possible by using which of the following methods? (Insertion, Selection, Exchange, Deletion)","Sorting is not possible in Deletion. Using insertion we can perform insertion sort, using selection we can perform selection sort, using exchange we can perform the bubble sort (and other similar sorting methods). But no sorting method can be done just using deletion."
36,What are the methods available in storing sequential files ?,"Straight merging, Natural merging, Polyphase sort, Distribution of Initial runs."
37,List out few of the Application of tree data-structure?,"The manipulation of Arithmetic expression, Symbol Table construction, Syntax analysis"
38,In tree construction which is the suitable efficient data structure?,"Array, Linked list, Stack, Queue Linked list is the suitable efficient data structure."
39,What is the type of the algorithm used in solving the 8 Queens problem?,Backtracking
40,"In an AVL tree, at what condition the balancing is to be done?",If the pivotal value or the Height factor is greater than 1 or less than -1.
41,"What is the bucket size, when the overlapping and collision occur at same time?","One. If there is only one entry possible in the bucket, when the collision occurs, there is no way to accommodate the colliding value. This results in the overlapping of values."
42,"In RDBMS, what is the efficient data structure used in the internal storage representation?","B+ tree. Because in B+ tree, all the data is stored only in leaf nodes, that makes searching easier. This corresponds to the records that shall be stored in leaf nodes."
43,What is a spanning Tree?,A spanning tree is a tree associated with a network. All the nodes of the graph appear on the tree once. A minimum spanning tree is a spanning tree organized so that the total edge weight between nodes is minimized.
44,Does the minimum spanning tree of a graph give the shortest distance between any 2 specified nodes?,No. The Minimal spanning tree assures that the total weight of the tree is kept at its minimum. But it doesn't mean that the distance between any two nodes involved in the minimum-spanning tree is minimum.
45,"Which is the simplest file structure? (Sequential, Indexed, Random)",Sequential is the simplest file structure.
46,Whether Linked List is linear or Non-linear data structure?,According to Access strategies Linked list is a linear one . According to Storage Linked List is a Non-linear one.
47,What is a Linear Data Structure? Name a few examples.,"A data structure is linear if all its elements or data items are arranged in a sequence or a linear order. The elements are stored in a non-hierarchical way so that each item has successors and predecessors except the first and last element in the list . Examples of linear data structures are Arrays, Stack, Strings, Queue, and Linked List."
48,What is the difference between file structure and storage structure?,"The difference lies in the memory area accessed. Storage structure refers to the data structure in the memory of the computer system, whereas file structure represents the storage structure in the auxiliary memory."
49,What is a multidimensional array?,A multidimensional array is a multidimensional array with more than one dimension. It is an array of arrays or an array with numerous layers. 
50,Are linked lists considered linear or non-linear Data Structures?,"Linked lists are considered both linear and non-linear data structures depending upon the application they are used for. When used for access strategies, it is considered as a linear data-structure. When used for data storage, it is considered a non-linear data structure."
51,What are the advantages of a linked list over an array? ,"Addition/Deletion of an element from the list at any index which is an O(1) operation in Lists as compared to Arrays."
